127.0.0.1 - - [02/Sep/2020:12:39:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:39:21 +0530] "GET /Demo4/Footer.jsp HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:39:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:40:04 +0530] "GET /Demo4/Header.jsp HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:40:20 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:41:10 +0530] "POST /Demo4/LoginServlet HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:41:13 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:41:19 +0530] "POST /Demo4/LoginServlet HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:41:21 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:41:30 +0530] "POST /Demo4/LoginServlet HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:41:32 +0530] "GET /Demo4/Home.jsp HTTP/1.1" 200 6650
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:41:35 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:41:40 +0530] "POST /Demo4/LoginServlet HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:41:41 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:42:35 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:42:45 +0530] "POST /Demo4/LoginServlet HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:42:47 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:42:54 +0530] "POST /Demo4/LoginServlet HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:42:55 +0530] "GET /Demo4/Home.jsp HTTP/1.1" 200 6769
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:42:57 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:43:36 +0530] "GET /Demo4/Header.jsp HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:43:39 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:43:48 +0530] "POST /Demo4/LoginServlet HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:43:49 +0530] "GET /Demo4/Home.jsp HTTP/1.1" 200 6650
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:43:55 +0530] "GET /Demo4/BooksDetails.jsp HTTP/1.1" 200 7522
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:43:56 +0530] "GET /Demo4/ImageServlet?id=6 HTTP/1.1" 200 75358
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:43:56 +0530] "GET /Demo4/ImageServlet?id=9 HTTP/1.1" 200 75358
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:43:58 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:45:07 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:45:25 +0530] "POST /Demo4/LoginServlet HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:45:28 +0530] "GET /Demo4/Home.jsp HTTP/1.1" 200 6650
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:45:31 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:47:34 +0530] "GET /Demo4/Home.jsp HTTP/1.1" 200 6745
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:47:38 +0530] "GET /Demo4/Registeration.jsp HTTP/1.1" 200 7622
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:47:41 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:47:48 +0530] "POST /Demo4/LoginServlet HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:47:51 +0530] "GET /Demo4/Home.jsp HTTP/1.1" 200 6650
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:47:54 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:48:03 +0530] "POST /Demo4/LoginServlet HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:48:05 +0530] "GET /Demo4/Home.jsp HTTP/1.1" 200 6769
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:48:08 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:59:34 +0530] "POST /Demo4/LoginServlet HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:59:36 +0530] "GET /Demo4/Home.jsp HTTP/1.1" 200 6650
0:0:0:0:0:0:0:1 - - [02/Sep/2020:12:59:37 +0530] "GET /Demo4/Login.jsp HTTP/1.1" 200 7849
